firstbridge_id,composite_ticker,sponsor,as_of_date,asset_class
555256389efa47c1b098ae4e0ae2a5df,XLKS,Invesco,2024-12-06,Equities (Stocks)
5705d59f85724052a294fae2590d3e08,USAUSW,UBS,2024-10-31,Equities (Stocks)
57a22885e5484ebca8c08597ee51d06e,SDJE50,Invesco,2024-12-06,Equities (Stocks)
57d7f26b3a3b4a5aae2557903d69e8c9,GPT3,Leverage Shares,2024-12-06,Equities (Stocks)
58855eb7081a4d9d85331395d0c21715,VEVE,Vanguard,2024-07-31,Equities (Stocks)
58b0dad5dd374cd9a2370b67c3bcd98d,JPNA,UBS,2024-10-31,Equities (Stocks)
58be5f520c324fa08263b3d8e691afc2,ELOVD,UBS,2024-10-31,Equities (Stocks)
58e808168118478b99782448c83f1f6a,CPER,Leverage Shares,2024-12-06,Commodities & Metals
5a92bf2d4c934eec99a606d134523131,DXJF,Wisdom Tree,2024-09-30,Equities (Stocks)
5aa00a6b72d543bd81e9606a5b5f6b57,MSRUSB,UBS,2024-10-31,Equities (Stocks)
5ac84693643d48eaac06ae33e32cb019,WTI,Leverage Shares,2024-12-06,Commodities & Metals
5c502dd1355e4f77918f64677ca8dfe6,VJPA,Vanguard,2024-07-31,Equities (Stocks)
52afd9c317ae4146b23be373e57503c0,ESGGB,UBS,2024-10-31,Bonds
52c24aa4c4aa4b288220ed0a86e24af4,AWESG,UBS,2024-10-31,Equities (Stocks)
532089dedad14055adadddd7a90a7781,VEVE,Vanguard,2024-07-31,Equities (Stocks)
53cf76d920be40a4be569c5afd9c91cd,HEDK,Wisdom Tree,2024-09-30,Equities (Stocks)
53f547d4fe62472c8ee27ed4a1b6373a,PACUSA,UBS,2024-10-31,Equities (Stocks)
550bfc3e70854c24ab4d7b9ada408f10,VETY,Vanguard,2024-07-31,Bonds
551e2e7b35df4360a6337a474d573ddb,V3SU,Vanguard,2024-07-31,Bonds
55871656e2bf44baaf2da043d25c5fc5,XLCS,Invesco,2024-12-06,Equities (Stocks)
558788e40af24bdab1ffee9519d63864,ALGO,21Shares,2024-11-27,Other Asset Types
5716dfefcd0043f9bfa3017fc65585d7,HIDR,HSBC,2024-12-11,Equities (Stocks)
57f5668bdbfc429bacf45daf652953b4,ABTC,21Shares,2024-11-27,Other Asset Types
5803338439f547db9beed681769a00ef,HMJP,HSBC,2024-12-11,Equities (Stocks)
586ab05a8f604eadbbfc648d1dae431e,AWSRIE,UBS,2024-10-31,Equities (Stocks)
